"Red" "Green" "Blue" "Grey"
"1" 0.243 0.226 0.215 0.22
"2" 0.249 0.235 0.215 0.237
"3" 0.254 0.251 0.217 0.259
"4" 0.258 0.267 0.22 0.284
"5" 0.265 0.286 0.22 0.309
"6" 0.27 0.306 0.224 0.335
"7" 0.276 0.326 0.227 0.366
"8" 0.282 0.349 0.23 0.396
"9" 0.287 0.372 0.235 0.429
"10" 0.294 0.397 0.239 0.463
"11" 0.302 0.421 0.242 0.499
"12" 0.307 0.448 0.244 0.537
"13" 0.317 0.476 0.249 0.576
"14" 0.324 0.504 0.254 0.618
"15" 0.331 0.535 0.259 0.659
"16" 0.343 0.564 0.264 0.706
"17" 0.35 0.597 0.269 0.751
"18" 0.36 0.629 0.274 0.797
"19" 0.369 0.663 0.279 0.848
"20" 0.38 0.7 0.286 0.898
"21" 0.39 0.738 0.291 0.953
"22" 0.401 0.776 0.295 1.007
"23" 0.412 0.814 0.304 1.065
"24" 0.424 0.855 0.309 1.124
"25" 0.435 0.897 0.316 1.184
"26" 0.447 0.938 0.32 1.248
"27" 0.459 0.981 0.329 1.311
"28" 0.473 1.027 0.337 1.377
"29" 0.487 1.077 0.346 1.444
"30" 0.499 1.124 0.351 1.515
"31" 0.513 1.174 0.36 1.586
"32" 0.527 1.225 0.37 1.661
"33" 0.54 1.278 0.378 1.737
"34" 0.557 1.329 0.385 1.812
"35" 0.572 1.384 0.394 1.892
"36" 0.588 1.438 0.402 1.972
"37" 0.602 1.496 0.413 2.059
"38" 0.618 1.556 0.421 2.145
"39" 0.637 1.614 0.432 2.232
"40" 0.655 1.674 0.441 2.319
"41" 0.672 1.739 0.452 2.414
"42" 0.691 1.805 0.462 2.51
"43" 0.71 1.871 0.471 2.602
"44" 0.729 1.939 0.484 2.699
"45" 0.746 2.006 0.494 2.804
"46" 0.766 2.073 0.507 2.902
"47" 0.788 2.14 0.517 3.003
"48" 0.808 2.215 0.528 3.11
"49" 0.829 2.29 0.542 3.216
"50" 0.851 2.363 0.554 3.324
"51" 0.872 2.439 0.567 3.436
"52" 0.893 2.513 0.582 3.547
"53" 0.916 2.595 0.593 3.668
"54" 0.94 2.671 0.605 3.789
"55" 0.964 2.752 0.619 3.907
"56" 0.988 2.838 0.633 4.029
"57" 1.01 2.922 0.649 4.155
"58" 1.036 3.009 0.664 4.28
"59" 1.06 3.099 0.679 4.411
"60" 1.086 3.182 0.694 4.538
"61" 1.112 3.279 0.709 4.674
"62" 1.137 3.369 0.724 4.809
"63" 1.163 3.459 0.738 4.947
"64" 1.188 3.555 0.754 5.084
"65" 1.224 3.675 0.772 5.273
"66" 1.255 3.771 0.791 5.411
"67" 1.284 3.875 0.808 5.56
"68" 1.314 3.975 0.825 5.711
"69" 1.341 4.077 0.842 5.851
"70" 1.372 4.179 0.858 6.004
"71" 1.403 4.285 0.874 6.158
"72" 1.431 4.39 0.893 6.318
"73" 1.462 4.495 0.911 6.47
"74" 1.495 4.604 0.931 6.629
"75" 1.527 4.716 0.948 6.797
"76" 1.556 4.824 0.968 6.957
"77" 1.59 4.941 0.985 7.126
"78" 1.625 5.056 1.005 7.297
"79" 1.656 5.174 1.024 7.465
"80" 1.694 5.285 1.043 7.641
"81" 1.727 5.411 1.064 7.822
"82" 1.762 5.539 1.086 8.007
"83" 1.798 5.66 1.104 8.184
"84" 1.835 5.786 1.126 8.373
"85" 1.866 5.909 1.147 8.561
"86" 1.907 6.038 1.167 8.745
"87" 1.942 6.165 1.19 8.941
"88" 1.98 6.284 1.213 9.135
"89" 2.019 6.426 1.236 9.331
"90" 2.057 6.558 1.258 9.528
"91" 2.098 6.696 1.282 9.723
"92" 2.14 6.831 1.305 9.93
"93" 2.175 6.967 1.326 10.13
"94" 2.218 7.103 1.349 10.33
"95" 2.258 7.243 1.375 10.55
"96" 2.297 7.386 1.399 10.76
"97" 2.339 7.539 1.424 10.98
"98" 2.382 7.681 1.447 11.2
"99" 2.424 7.827 1.473 11.42
"100" 2.467 7.979 1.499 11.64
"101" 2.514 8.139 1.526 11.87
"102" 2.557 8.288 1.552 12.1
"103" 2.602 8.436 1.578 12.32
"104" 2.649 8.594 1.604 12.56
"105" 2.693 8.752 1.63 12.8
"106" 2.74 8.908 1.66 13.03
"107" 2.784 9.077 1.686 13.27
"108" 2.831 9.234 1.715 13.5
